Name,Time,Num_Intervals,Result
SimpsonAlgorithmMPI,0.00894767,1000000,6.65168e+08
SimpsonAlgorithmMPI,0.0132718,2000000,6.65168e+08
SimpsonAlgorithmMPI,0.0182658,3000000,6.65168e+08
SimpsonAlgorithmMPI,0.0240088,4000000,6.65168e+08
SimpsonAlgorithmMPI,0.0300865,5000000,6.65168e+08
SimpsonAlgorithmMPI,0.0361442,6000000,6.65168e+08
SimpsonAlgorithmMPI,0.0456031,7000000,6.65168e+08
SimpsonAlgorithmMPI,0.0547144,8000000,6.65168e+08
SimpsonAlgorithmMPI,0.0689542,9000000,6.65168e+08
SimpsonAlgorithmMPI,0.0848467,10000000,6.65168e+08
