Name,Time,Num_Intervals,Result
TrapezoidAlgorithmOpenMP,0.024512,1000000,6.65168e+08
TrapezoidAlgorithmOpenMP,0.0218478,2000000,6.65168e+08
TrapezoidAlgorithmOpenMP,0.0351807,3000000,6.65168e+08
TrapezoidAlgorithmOpenMP,0.0415929,4000000,6.65168e+08
TrapezoidAlgorithmOpenMP,0.0484421,5000000,6.65168e+08
TrapezoidAlgorithmOpenMP,0.0534987,6000000,6.65168e+08
TrapezoidAlgorithmOpenMP,0.0600738,7000000,6.65168e+08
TrapezoidAlgorithmOpenMP,0.0695993,8000000,6.65168e+08
TrapezoidAlgorithmOpenMP,0.0795713,9000000,6.65168e+08
TrapezoidAlgorithmOpenMP,0.098116,10000000,6.65168e+08
