Name,Time,Num_Intervals,Result
TrapezoidAlgorithmMPI,0.0155023,1000000,6.65168e+08
TrapezoidAlgorithmMPI,0.0247688,2000000,6.65168e+08
TrapezoidAlgorithmMPI,0.0332546,3000000,6.65168e+08
TrapezoidAlgorithmMPI,0.0448356,4000000,6.65168e+08
TrapezoidAlgorithmMPI,0.0561411,5000000,6.65168e+08
TrapezoidAlgorithmMPI,0.0676192,6000000,6.65168e+08
TrapezoidAlgorithmMPI,0.0793156,7000000,6.65168e+08
TrapezoidAlgorithmMPI,0.090388,8000000,6.65168e+08
TrapezoidAlgorithmMPI,0.101634,9000000,6.65168e+08
TrapezoidAlgorithmMPI,0.112866,10000000,6.65168e+08
